char,prc_default,tw_reading,tw_std_set,common8105
醊,zhui4,chuo4,chuo4,
醱,fa po4,po4,po4,
釃,shai1,shi1,li2 shi1,
釓,ga2,ga1,ga1,
釩,fan3,fan2,fan2,
釿,jin1,yin2,yin2,
鈆,qian1,yan2,yan2,
鈒,sa4,se4,ji2 se4,
鈚,pi1,pi2,pi2,
鈧,kang4,kang1,kang1,
鈮,ni3,ni2,ni2,
鈸,bo2,ba2,ba2,
鈽,bu1,bu4,bu4,
鈾,you2,you4,you4,
鈿,tian2,dian4,dian4,
鉈,shi1,ta1,ta1,
鉕,po1,po3,po3,
鉭,tan3,dan4,dan4,
鉿,jia1,ha1,ha1,
銨,an3,an1,an1,
銻,ti2,ti4,ti4,
鋙,yu3,wu2,wu2,
鋟,qin3,qian1,qian1,
鋦,ju1,ju2,ju2,
鋧,xian4,xian3,xian3,
錁,guo3,ke4,ke4,
錏,ya1,ya4,ya4,
錫,xi1,xi2,xi2,
鍤,cha1,cha2,cha2,
鍶,song1,si1,si1,
鎝,da1,sa4,sa4 ta3,
鎞,bi1,pi1,bi4 pi1,
鏙,cui1,cui3,cui3,
鏚,qi1,qi4,qi4,
鐒,lao2,lao3,lao3,
鐔,xin2,tan2,tan2,
鐧,jian1,jian4,jian4,
鐭,yu4,ao4,ao4,
鑭,lan4,lan2,lan2,
閡,ai4,he2,he2,
閩,min3,min2,min2,
閬,lang4,lang3,lang3,
隄,di ti2,ti2,ti2,
雘,wo4,huo4,huo4,
雺,wu4,meng2,meng2,
霢,mai4,mo4,mo4,
鞈,ge2,jia2,jia2,
鞙,xuan4,juan1,juan1,
鞪,mu4,mou2,mou2,
韽,an1,an4,an4,
頊,xu1,xu4,xu4,
頗,po po3,po1,po1 po3,
頜,he2,ge2,ge2,
頵,yun1,jun1,jun1,
顫,chan4,zhan4,zhan4,
颿,fan1,fan2,fan2,
飂,liu4,liao2,liao2,
飩,tun2,dun4,dun4,
餾,liu4,liu2,liu2,
饎,chi4,xi1,xi1,
饡,zan4,zai4,zai4,
駍,pei2,peng1,peng1,
駴,hai4,xie4,xie4,
騞,huo1,huo4,huo4,
驁,ao4,ao2,ao2,
驃,biao1,piao4,piao4,
驟,zhou4,zou4,zou4,
骲,bao4,bo2,bo2,
骳,bei4,bi4,bi4,
髮,fa fa3,fa3,fa3,
鬄,di2,ti4,ti4,
鬋,jian3,jian1,jian1,
鬌,tuo3,duo3,duo3,
鬵,qin2,xin2,xin2,
魟,hong2,hong1,hong1,
魬,ban3,ban4,ban4,
魭,yuan2,wan3,wan3,
鮆,ci3,ji4,ji4,
鮨,yi4,qi2,qi2,
鯈,tiao2,chou2,chou2,
鯽,zei2,ji4,ji4,
鰂,zei2,ze2,ze2,
鰜,qian4,jian1,jian1,
鰫,yong2,rong2,rong2,
鰿,ji4,ji2,ji2,
鱒,zun1,zun4,zun4,
鳦,yi3,yi4,yi4,
鳪,bu2,bu3,bu3,
鳽,jian1,yan2,yan2,
鴐,ge1,jia1,jia1,
鴘,bian3,bian4,bian4,
鵧,pi2,ping2,ping2,
鶤,kun1,yun4,yun4,
鶻,gu2,gu3,gu3 hu2,
鷈,ti1,ti2,ti2,
鸔,bu3,bo2,bo2,
麃,pao biao1,biao1,biao1 pao2,
麴,qu1,qu2,qu2,
黦,yue4,yu4,ye4 yu4,
黭,yan3,an3,an3,
黮,dan3,tan3,tan3,
黽,mian3,min3,min3,
鼆,meng2,meng3,meng3,
鼵,tu1,tu2,tu2,
齜,chai2,zi1,zi1,
齵,ou2,yu2,yu2,
齹,ci1,chi1,chi1,
