虎姑婆,Hó͘ ko͘ pô
虎頭山,Hó͘ thâu soaⁿ
何,Hô
和美鎮,Hô bí tìn
和仁,Hô jîn
和平,Hô pêng
和平溪,Hô pêng khe
和平區,Hô pêng khu
華文,Hôa bûn
華語,Hôa gí
華語,Hôa gú
華府,Hôa hú
華人,Hôa jîn
華僑,Hôa kiâu
華人,Hôa lîn
回教,Hôe kàu
洄瀾,Hôe liân
和尚洲,Hôe siūⁿ chiu
皇,Hông
紅,Hông
逢,Hông
鴻禧美術館,Hông hi Bí su̍t koán
皇甫,Hông hú
狐,Hô͘
葫蘆墩,Hô͘ lô͘ tun
富源,Hù goân
富源溪,Hù goân khe
富岡,Hù kong
富貴角,Hù kùi kak
富里,Hù lí
富里鄉,Hù lí hiong
費,Hùi
府城,Hú siâⁿ
府中,Hú tiong
輔大,Hú tāi
符,Hû
苻,Hû
雲林縣,Hûn lîm koān
夏,Hā
下元,Hā goân
夏侯,Hā hô͘
旱溪,Hān khe
項,Hāng
夏,Hē
賀,Hō
鳳甲文化館,Hōng kah Bûn hòa koán
鳳林,Hōng lîm
鳳林鎮,Hōng lîm tìn
鳳山,Hōng soaⁿ
鳳山國中,Hōng soaⁿ Kok tiong
鳳山溪,Hōng soaⁿ khe
鳳山區,Hōng soaⁿ khu
鳳山西站,Hōng soaⁿ sai chām
奉天宮,Hōng thian kiong
戶,Hō͘
扈,Hō͘
滬尾,Hō͘ bé
滬尾,Hō͘ bóe
惠濟宮,Hūi chè kiong
燕,Ian
葉,Ia̍p
育樂園,Io̍k lo̍k hn̂g
燕巢區,Iàn châu khu
耶穌,Iâ so͘
耶誕,Iâ tàn
鹽埔鄉,Iâm po͘ hiong
鹽埕區,Iâm tiâⁿ khu
鹽埕埔,Iâm tiâⁿ po͘
延平鄉,Iân pêng hiong
姚,Iâu
養樂多,Ióng lo̍k to
陽明山,Iông bêng san
有應公,Iú èng kong
尤,Iû
游,Iû
油廠國小,Iû chhiúⁿ Kok sió
郵政博物館,Iû chèng Phok bu̍t koán
油羅溪,Iû lô khe
楊,Iûⁿ
羊,Iûⁿ
陽,Iûⁿ
楊英風美術館,Iûⁿ Eng hong Bí su̍t koán
陽明山,Iûⁿ bêng soaⁿ
楊梅,Iûⁿ bôe
楊梅,Iûⁿ mûi
楊梅區,Iûⁿ mûi khu
楊梅壢,Iûⁿ mûi le̍k
右,Iū
饒,Jiâu
日文,Ji̍t bûn
日月潭,Ji̍t goa̍t thâm
日語,Ji̍t gí
日劇,Ji̍t ke̍k
日劇,Ji̍t kio̍k
日南,Ji̍t lâm
日式,Ji̍t sek
日商,Ji̍t siong
日產,Ji̍t sán
俞,Jî
任,Jîm
人,Jîn
仁武區,Jîn bú khu
仁和宮,Jîn hô kiong
人事局,Jîn sū kio̍k
仁德區,Jîn tek khu
仁愛鄉,Jîn ài hiong
仁愛區,Jîn ài khu
庾,Jú
俞,Jû
儒家,Jû ka
如來,Jû lâi
如來佛祖,Jû lâi hu̍t chó͘
如來佛祖,Jû lâi pu̍t chó͘
二萬坪,Jī bān pêⁿ
二水,Jī chúi
二水鄉,Jī chúi hiong
二仁溪,Jī jîn khe
二二八公園,Jī jī pat Kong hn̂g
二結,Jī kiat
二九暝,Jī káu mê
二林鎮,Jī lîm tìn
二崙鄉,Jī lūn hiong
二崙仔,Jī lūn á
二八水,Jī pat chúi
二竹圍,Jī tek ûi
加走灣,Ka cháu oan
嘉義,Ka gī
嘉義市,Ka gī chhī
嘉義縣,Ka gī koān
家扶中心,Ka hû Tiong sim
交力坪,Ka le̍k pêⁿ
加祿,Ka lo̍k
傀儡關,Ka lé koan
佳里區,Ka lí khu
茄拔,Ka poa̍t
佳冬,Ka tang
佳冬鄉,Ka tang hiong
茄苳跤,Ka tang kha
茄苳萣仔,Ka tang tiāⁿ á
茄萣區,Ka tiāⁿ khu
甲仙區,Kah sian khu
角板山,Kak pán soaⁿ
甘,Kam
關渡,Kan tāu
關渡宮,Kan tāu keng
關渡宮,Kan tāu má
江,Kang
工研院,Kang gián īⁿ
江南,Kang lâm
蛤仔難,Kap á lān
葛,Kat
噶瑪蘭,Kat má lán
交力坪,Kau le̍k pêⁿ
基隆,Ke lâng
雞籠,Ke lâng
基隆市,Ke lâng chhī
基隆河,Ke lâng hô
基隆港,Ke lâng káng
基隆山,Ke lâng soaⁿ
凱達格蘭文化館,Ke ta ga lán Bûn hòa koán
開元寺,Khai goân sī
